Learning Rate,Batch Size,Dropout,Optimizer,Test Accuracy
0.01,128,0.5,SGD,0.5289000272750854
0.0001,128,0.5,RMSprop,0.5105000138282776
0.0001,128,0.5,RMSprop,0.5074999928474426
0.0001,128,0.5,RMSprop,0.5066999793052673
0.01,128,0.3,SGD,0.5020999908447266
0.0001,128,0.5,RMSprop,0.5016999840736389
0.01,128,0.3,SGD,0.4997999966144562
0.01,128,0.3,SGD,0.4997999966144562
0.01,128,0.3,SGD,0.49970000982284546
0.01,128,0.3,SGD,0.4950999915599823
0.0001,128,0.2,RMSprop,0.4927999973297119
0.0001,128,0.5,RMSprop,0.4925999939441681
0.0001,128,0.5,RMSprop,0.4921000003814697
0.01,128,0.3,SGD,0.4918000102043152
0.0001,128,0.5,RMSprop,0.4894999861717224
0.0001,128,0.5,RMSprop,0.46709999442100525
0.01,128,0.5,SGD,0.4659999907016754
0.001,64,0.5,SGD,0.4650000035762787
0.01,64,0.2,SGD,0.451200008392334
0.001,128,0.2,Adam,0.44760000705718994
0.001,128,0.2,RMSprop,0.4406000077724457
0.001,64,0.3,Adam,0.43479999899864197
0.0001,128,0.3,SGD,0.25529998540878296
0.0001,64,0.5,SGD,0.19539999961853027
0.01,128,0.3,RMSprop,0.009999999776482582
0.01,128,0.5,Adam,0.009999999776482582
0.01,64,0.3,Adam,0.009999999776482582
