Learning Rate,Batch Size,Dropout,Optimizer,Test Accuracy
0.0001,32,0.3,RMSprop,0.5113000273704529
0.0001,32,0.3,RMSprop,0.5108000040054321
0.0001,32,0.3,RMSprop,0.508899986743927
0.0001,32,0.3,RMSprop,0.506600022315979
0.0001,32,0.3,RMSprop,0.5044999718666077
0.0001,32,0.3,RMSprop,0.5044000148773193
0.0001,32,0.3,RMSprop,0.5044000148773193
0.0001,32,0.3,RMSprop,0.5042999982833862
0.0001,32,0.3,RMSprop,0.503000020980835
0.0001,32,0.3,RMSprop,0.5023999810218811
0.0001,32,0.3,RMSprop,0.5019000172615051
0.0001,32,0.3,RMSprop,0.49900001287460327
0.0001,32,0.3,RMSprop,0.49869999289512634
0.0001,32,0.3,RMSprop,0.4984000027179718
0.0001,32,0.2,Adam,0.492900013923645
0.0001,128,0.2,Adam,0.4810999929904938
0.0001,128,0.2,RMSprop,0.4756999909877777
0.0001,128,0.2,Adam,0.4749000072479248
0.0001,128,0.2,RMSprop,0.47040000557899475
0.01,64,0.3,SGD,0.46970000863075256
0.001,64,0.3,SGD,0.4438000023365021
0.001,64,0.5,SGD,0.2939000129699707
0.01,64,0.3,Adam,0.03830000013113022
0.01,32,0.5,SGD,0.009999999776482582
0.01,64,0.5,RMSprop,0.009999999776482582
0.001,32,0.5,Adam,0.009999999776482582
0.001,32,0.5,RMSprop,0.009399999864399433
